date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:24:27	1808/1808	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea75d-710%22	https://10th.bcdesign.cn/dayB.54d61bd3.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/dayB.54d61bd3.svg	(from https://10th.bcdesign.cn/)
04:24:29	7694/7694	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea75f-1e0e%22	https://10th.bcdesign.cn/time.cafbe432.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/time.cafbe432.svg	(from https://10th.bcdesign.cn/)
04:24:29	863392/863392	---M--	200	added ('OK')	audio/mpeg	etag:%2264eea761-d2ca0%22	https://10th.bcdesign.cn/m.bfe7539f.mp3	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/m.bfe7539f.mp3	(from https://10th.bcdesign.cn/)
04:24:29	391/391	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea75f-187%22	https://10th.bcdesign.cn/star.378456f3.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/star.378456f3.svg	(from https://10th.bcdesign.cn/)
04:24:30	225/225	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea757-e1%22	https://10th.bcdesign.cn/arrowIcon.3b1e3d00.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/arrowIcon.3b1e3d00.svg	(from https://10th.bcdesign.cn/)
04:24:30	8314/8314	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea75e-207a%22	https://10th.bcdesign.cn/twoStep01-top.96bd18b7.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/twoStep01-top.96bd18b7.svg	(from https://10th.bcdesign.cn/)
04:24:31	622/622	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea74e-26e%22	https://10th.bcdesign.cn/StarIcon1.800a64fe.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/StarIcon1.800a64fe.svg	(from https://10th.bcdesign.cn/)
04:24:31	707/707	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea75c-2c3%22	https://10th.bcdesign.cn/twoStep01-bottom.e909fa0d.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/twoStep01-bottom.e909fa0d.svg	(from https://10th.bcdesign.cn/)
04:24:32	8764/8764	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea755-223c%22	https://10th.bcdesign.cn/twoStep02-top.580e94f7.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/twoStep02-top.580e94f7.svg	(from https://10th.bcdesign.cn/)
04:24:32	470/470	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea750-1d6%22	https://10th.bcdesign.cn/iconTW.79ff499f.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/iconTW.79ff499f.svg	(from https://10th.bcdesign.cn/)
04:24:33	467/467	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea75c-1d3%22	https://10th.bcdesign.cn/IconINS.06fcdef6.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/IconINS.06fcdef6.svg	(from https://10th.bcdesign.cn/)
04:24:33	788/788	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea75d-314%22	https://10th.bcdesign.cn/iconFB.595232e7.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/iconFB.595232e7.svg	(from https://10th.bcdesign.cn/)
04:24:33	267/267	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea759-10b%22	https://10th.bcdesign.cn/StarIcon.f718b407.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/StarIcon.f718b407.svg	(from https://10th.bcdesign.cn/)
04:24:34	5416/5416	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea75d-1528%22	https://10th.bcdesign.cn/iconCreative.e205dce1.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/iconCreative.e205dce1.svg	(from https://10th.bcdesign.cn/)
04:24:36	60963/60963	---M--	200	added ('OK')	image/png	etag:%2264eea762-ee23%22	https://10th.bcdesign.cn/03FM.7eb20bc7.png	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/03FM.7eb20bc7.png	(from https://10th.bcdesign.cn/)
04:24:37	207047/207047	---M--	200	added ('OK')	image/png	etag:%2264eea75d-328c7%22	https://10th.bcdesign.cn/00T.71c840f1.png	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/00T.71c840f1.png	(from https://10th.bcdesign.cn/)
04:24:38	27319/27319	---M--	200	added ('OK')	image/png	etag:%2264eea759-6ab7%22	https://10th.bcdesign.cn/01FM.7e90e9fc.png	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/01FM.7e90e9fc.png	(from https://10th.bcdesign.cn/)
04:24:40	34908/34908	---M--	200	added ('OK')	image/png	etag:%2264eea754-885c%22	https://10th.bcdesign.cn/04FM.5ce3d2c5.png	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/04FM.5ce3d2c5.png	(from https://10th.bcdesign.cn/)
04:24:42	560508/560508	---M--	200	added ('OK')	image/png	etag:%2264eea750-88d7c%22	https://10th.bcdesign.cn/3F.cade7177.png	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/3F.cade7177.png	(from https://10th.bcdesign.cn/)
04:24:43	4747/4747	---M--	200	added ('OK')	image/png	etag:%2264eea75a-128b%22	https://10th.bcdesign.cn/02FM.516cea24.png	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/02FM.516cea24.png	(from https://10th.bcdesign.cn/)
04:24:43	354203/354203	---M--	200	added ('OK')	image/png	etag:%2264eea756-5679b%22	https://10th.bcdesign.cn/01APUS.9dad7551.png	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/01APUS.9dad7551.png	(from https://10th.bcdesign.cn/)
04:24:43	74838/74838	---M--	200	added ('OK')	image/png	etag:%2264eea75f-12456%22	https://10th.bcdesign.cn/02N.830fae75.png	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/02N.830fae75.png	(from https://10th.bcdesign.cn/)
04:24:47	301059/301059	---M--	200	added ('OK')	image/png	etag:%2264eea748-49803%22	https://10th.bcdesign.cn/04RAP.d8e9985f.png	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/04RAP.d8e9985f.png	(from https://10th.bcdesign.cn/)
04:24:47	17109/17109	---M--	200	added ('OK')	image/png	etag:%2264eea750-42d5%22	https://10th.bcdesign.cn/07FM.f2614807.png	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/07FM.f2614807.png	(from https://10th.bcdesign.cn/)
04:24:49	99033/99033	---M--	200	added ('OK')	image/png	etag:%2264eea757-182d9%22	https://10th.bcdesign.cn/07T.8a686b75.png	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/07T.8a686b75.png	(from https://10th.bcdesign.cn/)
04:24:49	5529/5529	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea747-1599%22	https://10th.bcdesign.cn/iconCreative2.32eed18d.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/iconCreative2.32eed18d.svg	(from https://10th.bcdesign.cn/)
04:24:49	23582/23582	---M--	200	added ('OK')	image/png	etag:%2264eea75c-5c1e%22	https://10th.bcdesign.cn/05FM.abff0d52.png	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/05FM.abff0d52.png	(from https://10th.bcdesign.cn/)
04:24:50	5065/5065	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea74e-13c9%22	https://10th.bcdesign.cn/iconCreative3.e360a1b1.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/iconCreative3.e360a1b1.svg	(from https://10th.bcdesign.cn/)
04:24:51	31502/31502	---M--	200	added ('OK')	image/png	etag:%2264eea75e-7b0e%22	https://10th.bcdesign.cn/06FM.5d99864c.png	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/06FM.5d99864c.png	(from https://10th.bcdesign.cn/)
04:24:52	930/930	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea75e-3a2%22	https://10th.bcdesign.cn/footBG.5b4996c6.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/footBG.5b4996c6.svg	(from https://10th.bcdesign.cn/)
04:24:53	250645/250645	---M--	200	added ('OK')	image/png	etag:%2264eea747-3d315%22	https://10th.bcdesign.cn/06VON.069b6311.png	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/06VON.069b6311.png	(from https://10th.bcdesign.cn/)
04:24:53	237327/237327	---M--	200	added ('OK')	image/png	etag:%2264eea756-39f0f%22	https://10th.bcdesign.cn/05DRAGON.994e2ab0.png	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/05DRAGON.994e2ab0.png	(from https://10th.bcdesign.cn/)
04:24:54	1817/1817	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea75b-719%22	https://10th.bcdesign.cn/loadIcon.f160c809.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/loadIcon.f160c809.svg	(from https://10th.bcdesign.cn/)
04:24:55	535053/535053	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264eea762-82a0d%22	https://10th.bcdesign.cn/home.b372cbf3.js	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/home.b372cbf3.js	(from https://10th.bcdesign.cn/)
04:24:55	6416/6416	---M--	200	added ('OK')	font/woff	etag:%2264eea75e-1910%22	https://10th.bcdesign.cn/Orbitron.b44eac40.woff	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/Orbitron.b44eac40.woff	(from https://10th.bcdesign.cn/home.2504a112.css)
04:24:55	7856/7856	---M--	200	added ('OK')	font/woff	etag:%2264eea75d-1eb0%22	https://10th.bcdesign.cn/LCD.637a2379.woff	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/LCD.637a2379.woff	(from https://10th.bcdesign.cn/home.2504a112.css)
04:24:56	3376/3376	---M--	200	added ('OK')	font/woff	etag:%2264eea75f-d30%22	https://10th.bcdesign.cn/IBMPlexMono-Regular.d7717c41.woff	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/IBMPlexMono-Regular.d7717c41.woff	(from https://10th.bcdesign.cn/home.2504a112.css)
04:24:56	7541/7541	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea756-1d75%22	https://10th.bcdesign.cn/popBG.49080577.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/popBG.49080577.svg	(from https://10th.bcdesign.cn/home.2504a112.css)
04:24:56	1793191/1793191	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264eea74d-1b5ca7%22	https://10th.bcdesign.cn/home.e9ebd184.js	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/home.e9ebd184.js	(from https://10th.bcdesign.cn/)
04:24:58	1003/1003	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea75e-3eb%22	https://10th.bcdesign.cn/stl.abbcc77f.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/stl.abbcc77f.svg	(from https://10th.bcdesign.cn/home.2504a112.css)
04:24:58	2428/2428	---M--	200	added ('OK')	image/svg+xml	etag:%2264eea760-97c%22	https://10th.bcdesign.cn/bgPlus.66c81844.svg	C:/My%20Web%20Sites/Test/10th.bcdesign.cn/bgPlus.66c81844.svg	(from https://10th.bcdesign.cn/home.2504a112.css)
